symbol,name,sector_top,sector_top_weight_pct,sector_trust,bucket,reasons
SNOU,"T-Rex 2X Long SNOW Dt ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
SNXX,"Tradr 2X Long SNDK Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
SOLT,"2x Solana ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
SOLZ,"Solana ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
SOUX,"Defiance Daily Target 2X Long SOUN ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
SOXL,"Direxion Daily Semiconductor Bull 3X Shares","Technology",100.00,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
SOXS,"Direxion Daily Semiconductor Bear 3X Shares","",,0.4,NON_STANDARD,"NON_STANDARD_INVERSE|NO_SECTOR_DATA"
SOYB,"Teucrium Soybean Fund","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
SPDN,"Direxion Daily S&P 500 Bear 1X Shares","Energy",0.00,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
SPUU,"Direxion Daily S&P 500 Bull 2X Shares","Technology",39.05,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
SPXL,"Direxion Daily S&P 500 Bull 3X Shares","Technology",39.05,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
SPXS,"Direxion Daily S&P 500 Bear 3X Shares","Industrial",0.00,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
SPXU,"ProShares UltraPro Short S&P 500 Fund","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
SQQQ,"ProShares UltraPro Short QQQ","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
SRTY,"ProShares UltraPro Short Russell2000","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
SSG,"ProShares UltraShort Semiconductors","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
SSO,"ProShares Ultra S&P500","Technology",38.98,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
STCE,"Schwab Crypto Thematic ETF","Financial Services",64.70,0.2,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO|FS_BUT_CRYPTO"
