symbol,currency_base,currency_quote,exchange_used,exchange_normalized,last_close,last_datetime,ret_1d_pct,ret_7d_pct,ret_30d_pct,ret_90d_pct,ret_1y_pct,ret_ytd_pct,ret_6m_pct,vol_7d_annual_pct,vol_30d_annual_pct,sharpe_ratio,var_95_pct,atr14_pct,drawdown_90d_pct,tier1_listed,stale,data_points,coverage_ratio,enough_history_90d,enough_history_1y,return_type,returns_mode,include_today,ret_1y_suspect
"DOGS/USDT","DOGS","US Dollar","Binance","binance","0.0000","2026-02-09","-0.69","-8.60","-37.34","-46.05","","-31.34","-81.07","147.00","108.56","-4.54","-9.36","11.52","49.61","true","false","261","1.000","true","false","simple","calendar","true","false"
"DOT/USD","Dotcoin","US Dollar","Binance","binance","1.3260","2026-02-09","-0.82","-14.06","-36.34","-58.97","-72.21","-33.67","-67.96","135.32","94.19","-5.41","-8.46","10.43","57.36","true","false","425","1.000","true","true","simple","calendar","true","false"
"DUSK/USD","Dusk Network","US Dollar","Binance","binance","0.1117","2026-02-09","-13.75","5.18","108.79","53.43","-4.45","128.89","60.26","399.53","378.47","3.58","-21.29","18.97","63.31","true","false","425","1.000","true","true","simple","calendar","true","false"
"DYDX/USD","dYdX","US Dollar","Binance","binance","0.1061","2026-02-09","-2.03","-20.35","-46.20","-67.59","-85.77","-42.15","-84.10","145.49","101.53","-7.22","-9.24","12.49","65.07","true","false","425","1.000","true","true","simple","calendar","true","false"
"DYM/USD","Dymension","US Dollar","Binance","binance","0.0417","2026-02-09","-0.48","-12.58","-42.16","-57.01","-92.45","-40.68","-84.67","144.16","110.01","-5.21","-10.73","10.38","72.65","true","false","425","1.000","true","true","simple","calendar","true","false"
"EGLD/EUR","Elrond","Euro","Binance","binance","3.8500","2026-02-09","-3.02","-5.87","-28.31","-55.70","-82.18","-23.31","-72.06","185.81","108.90","-3.57","-8.94","10.93","57.27","true","false","425","1.000","true","true","simple","calendar","true","false"
"EGLD/USD","Elrond","US Dollar","Binance","binance","4.5800","2026-02-09","-1.08","-4.78","-26.72","-54.56","-79.47","-22.64","-71.64","185.43","109.45","-3.29","-8.86","11.77","56.29","true","false","425","1.000","true","true","simple","calendar","true","false"
"ELF/USD","aelf","US Dollar","Huobi","huobi","0.0806","2026-02-09","-0.37","-3.59","-26.59","-35.62","-72.62","-6.71","-63.10","72.75","59.79","-7.39","-7.43","10.33","43.23","true","false","425","1.000","true","true","simple","calendar","true","false"
"ELON/USD","Dogelon Mars","US Dollar","Kucoin","kucoin","0.0000","2026-02-09","-2.04","-6.60","-32.87","-48.49","-84.07","-32.48","-72.16","199.72","212.89","-1.34","-19.11","13.33","61.09","true","false","425","1.000","true","true","simple","calendar","true","false"
"ENA/USD","Ethena","US Dollar","Binance","binance","0.1208","2026-02-09","0.50","-13.78","-48.09","-63.05","-74.65","-44.49","-83.59","148.05","106.14","-6.66","-9.88","12.03","62.91","true","false","425","1.000","true","true","simple","calendar","true","false"
"ENJ/USD","Enjin Coin","US Dollar","Binance","binance","0.0229","2026-02-09","0.88","-5.02","-25.14","-50.23","-80.50","-22.29","-69.63","155.69","106.41","-2.86","-9.00","11.23","50.85","true","false","425","1.000","true","true","simple","calendar","true","false"
"ENS/USD","Ethereum Name Service","US Dollar","Binance","binance","5.9000","2026-02-09","0.00","-15.23","-43.16","-58.19","-76.29","-39.80","-80.11","163.75","104.18","-6.08","-12.24","12.15","60.54","true","false","425","1.000","true","true","simple","calendar","true","false"
"ERG/USD","Ergo","US Dollar","Kucoin","kucoin","0.3868","2026-02-09","-2.27","8.11","-15.82","-39.59","-62.63","-19.47","-60.66","108.90","83.59","-1.84","-5.61","7.40","45.16","true","false","425","1.000","true","true","simple","calendar","true","false"
"ETC/EUR","Ethereum Classic","Euro","Coinbase Pro","coinbase","7.2500","2026-02-09","-0.14","-12.55","-33.24","-48.25","-63.24","-29.27","-64.30","132.82","82.94","-5.40","-7.51","9.05","48.33","true","false","425","1.000","true","true","simple","calendar","true","false"
