symbol,currency_base,currency_quote,exchange_used,exchange_normalized,last_close,last_datetime,ret_1d_pct,ret_7d_pct,ret_30d_pct,ret_90d_pct,ret_1y_pct,ret_ytd_pct,ret_6m_pct,vol_7d_annual_pct,vol_30d_annual_pct,sharpe_ratio,var_95_pct,atr14_pct,drawdown_90d_pct,tier1_listed,stale,data_points,coverage_ratio,enough_history_90d,enough_history_1y,return_type,returns_mode,include_today,ret_1y_suspect
"COOK/USD","Cook Finance","US Dollar","Gate.io","gate.io","0.0159","2025-02-10","0.34","-3.83","-47.26","-57.57","6894.83","-38.26","13471.17","79.21","110.33","-6.02","-13.72","11.11","62.37","false","true","425","1.000","true","true","simple","calendar","true","true"
"CORE/USD","Core","US Dollar","Bybit","bybit","0.0908","2026-02-14","3.65","2.48","-30.74","-48.53","-83.52","-20.42","-81.09","50.95","101.92","-3.49","-8.90","8.41","53.99","true","false","425","1.000","true","true","simple","calendar","true","false"
"CORE/USD","cVault.finance","US Dollar","Gate.io","gate.io","0.0909","2026-02-14","3.84","2.24","-30.69","-48.54","-83.50","-20.50","-81.07","52.40","100.20","-3.54","-8.99","8.25","53.75","false","false","425","1.000","true","true","simple","calendar","true","false"
"COTI/USD","COTI","US Dollar","Binance","binance","0.0128","2026-02-14","3.64","1.67","-42.53","-63.50","-85.10","-41.35","-76.41","56.04","113.52","-4.68","-12.73","9.32","64.46","true","false","425","1.000","true","true","simple","calendar","true","false"
"COVAL/USD","Circuits of Value","US Dollar","Gate.io","gate.io","0.0001","2026-01-26","-17.57","-17.57","-3.82","-81.83","-92.33","-17.05","-89.14","195.28","196.71","0.62","-14.52","36.81","82.38","false","true","425","1.000","true","true","simple","calendar","true","false"
"CRO/USD","Crypto.com Coin","US Dollar","Kucoin","kucoin","0.0820","2026-02-14","1.99","3.25","-20.84","-27.84","-10.06","-12.77","-46.80","46.47","79.08","-2.81","-4.99","7.22","37.89","true","false","425","1.000","true","true","simple","calendar","true","false"
"CRV/EUR","Curve DAO Token","Euro","Coinbase Pro","coinbase","0.2229","2026-02-14","5.24","2.29","-39.15","-39.84","-55.77","-33.40","-71.58","91.19","94.36","-6.32","-8.49","8.75","48.74","true","false","425","1.000","true","true","simple","calendar","true","false"
"CRV/USD","Curve DAO Token","US Dollar","Binance","binance","0.2638","2026-02-14","4.89","2.45","-38.29","-38.61","-50.03","-32.96","-71.09","88.28","96.44","-5.90","-8.89","9.14","47.72","true","false","425","1.000","true","true","simple","calendar","true","false"
"CRVUSD/USD","crvUSD","US Dollar","Gate.io","gate.io","0.9893","2026-02-14","0.00","0.76","0.26","-0.57","1.27","-0.23","-1.51","11.83","8.43","0.48","-0.59","1.08","4.36","false","false","425","1.000","true","true","simple","calendar","true","false"
"CSPR/USD","Casper","US Dollar","Huobi","huobi","0.0035","2026-02-14","-2.15","5.23","-31.45","-48.34","-72.75","-24.55","-67.04","86.79","99.96","-4.43","-10.82","11.12","55.51","true","false","425","1.000","true","true","simple","calendar","true","false"
"CTSI/USD","Cartesi","US Dollar","Binance","binance","0.0278","2026-02-14","2.96","0.72","-23.84","-32.36","-76.01","-16.52","-57.62","47.95","78.01","-3.48","-8.14","7.79","49.12","true","false","425","1.000","true","true","simple","calendar","true","false"
