Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché,roe,de_ratio,roic,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,roic_persist_6y,roe_persist_6y,roic_downside_6y,roe_downside_6y,years_roic_6y,net_margin,revenue_growth_3y,assets_to_equity
"ITP","INTERPARFUMS SA","","France","Euronext","EUR","17.76","0.21","21.02","18.83","0.93","20.54","0.93","5","5","4.92","6.95","6","14.12","6.13","NaN"
"ALWIN","WINAMP GROUP SA","","France","Euronext","EUR","199.33","-2.12","-22.54","-177.56","371.11","-24.41","2.14","0","1","3.14","360.27","5","-390.28","-3.53","NaN"
"ALWTR","OSMOSUN S.A.","","France","Euronext","EUR","-49.35","0.13","-27.73","-87.25","47.73","-53.18","38.32","0","0","49.39","66.58","5","-119.85","-22.39","NaN"
"JXRBS","ARCHOS BSA","","France","Euronext","EUR","","","","","","","","","","","","0","","","NaN"
"IVA","INVENTIVA S.A.","","France","Euronext","EUR","523.99","-2.10","-143.14","-284.32","1183.39","-183.88","98.78","0","2","75.08","925.63","6","-7899.51","-49.35","NaN"
"URW","UNIBAIL-RODAMCO-WESTFIELD SE","","France","Euronext","EUR","97.32","30.28","2.59","150.45","154.84","1.96","0.55","0","4","0.30","38.02","4","9.60","6.54","NaN"
"AMUN","AMUNDI S.A.","","France","Euronext","EUR","12.84","0.16","2.78","11.41","1.30","2.95","0.15","0","2","0.16","0.97","6","24.83","6.73","NaN"
"VAC","PIERRE ET VACANCES SA","","France","Euronext","EUR","-9.27","-9.52","4.04","0.03","14.04","4.97","0.94","0","3","5.80","29.66","6","1.80","2.22","NaN"
"ALTHE","THERACLION S.A.","","France","Euronext","EUR","439.68","-1.91","-69.63","37.16","351.54","-68.41","29.63","0","4","17.47","271.01","6","-479.85","-19.32","NaN"
"ALTHO","METAVISIO S.A.","","France","Euronext","EUR","5534.36","-1.05","-13.17","1840.71","3198.83","-3.00","9.01","0","2","12.85","47.39","6","-668.86","-41.80","NaN"
"ALTME","TME PHARMA N.V.","","France","Euronext","EUR","-18771.43","-1.51","-124.69","-6259.37","10870.12","-201.30","131.69","0","1","116.34","10522.94","6","","","NaN"
"ALTOO","TOOSLA S.A.C.A.","","France","Euronext","EUR","85.36","-1.83","-32.13","-215.34","582.55","-19.97","10.64","0","2","13.49","473.20","6","-72.89","-11.92","NaN"
"IPH","INNATE PHARMA S.A.","","France","Euronext","EUR","764.21","-1.04","-83.86","195.67","497.94","-52.59","36.97","0","1","47.40","72.92","6","-1764.51","-76.83","NaN"
"IPN","IPSEN S.A.","","France","Euronext","EUR","10.44","0.20","14.88","12.39","4.99","12.27","2.26","4","4","3.56","8.35","6","11.31","9.01","NaN"
"IPS","IPSOS SA","","France","Euronext","EUR","11.98","0.42","9.51","12.40","1.36","9.92","0.36","0","3","1.89","2.13","6","7.46","2.78","NaN"
"ALVAL","VALBIOTIS S.A.S.","","France","Euronext","EUR","-108.70","0.73","-112.19","-73.44","32.49","-88.15","28.54","0","0","24.74","22.27","6","-1040.66","-56.27","NaN"
"VANTI","VANTIVA SA","","France","Euronext","EUR","108.86","-1.08","3.27","59.04","213.38","1.80","1.29","0","3","8321.87","24825.22","6","-22.64","5.39","NaN"
"VLTSA","VOLTALIA SA","","France","Euronext","EUR","-11.80","2.36","0.08","-3.82","7.11","1.12","0.95","0","0","0.71","6.70","6","-22.37","8.96","NaN"
"ALIMP","IMPLANET S.A.","","France","Euronext","EUR","-774.89","14.66","-27.34","-916.82","603.88","-30.74","3.75","0","0","10.41","719.52","6","-35.13","29.42","NaN"
"ALINS","INTRASENSE S.A.","","France","Euronext","EUR","908.44","-1.44","-60.01","246.97","572.89","-55.80","5.37","0","1","4.94","34.18","6","-360.94","-4.82","NaN"
"ALJXR","ARCHOS S.A.","","France","Euronext","EUR","24.38","0.98","4.89","-246.73","493.15","-0.59","14.16","0","5","34.10","499.83","6","3.60","55.63","NaN"
"VLA","VALNEVA SE","","France","Euronext","EUR","-80.16","1.95","-23.32","-48.79","37.05","-19.86","3.39","0","0","3.92","13.25","6","-65.95","6.60","NaN"
"VK","VALLOUREC SA","","France","Euronext","EUR","15.11","0.39","14.42","5.45","23.01","13.31","1.90","2","2","6.24","69.26","6","9.91","-11.68","NaN"
"ALKKO","KKO INTERNATIONAL S.A.","","France","Euronext","EUR","0.87","0.65","3.38","-7.14","28.81","5.32","6.90","1","1","5.96","25.47","6","0.50","172.29","NaN"
"ALKLA","KLARSEN.","","France","Euronext","EUR","-2.98","0.23","-2.64","529.33","942.94","1.61","3.78","0","2","16.80","39.24","6","-0.74","84.25","NaN"
"ALKLH","KLEA HOLDING INC.","","France","Euronext","EUR","8.23","0.19","9.33","5.75","2.30","5.49","3.59","0","1","63.42","58.85","6","10.29","27.17","NaN"
"ALKLK","KERLINK S.A.","","France","Euronext","EUR","-66.45","5.35","-7.00","-58.40","11.30","-12.98","5.38","0","0","15.80","20.37","6","-13.84","3.47","NaN"
"BEN","BÃ©NÃ©TEAU S.A.","","France","Euronext","EUR","-5.34","0.50","-1.51","9.65","14.53","4.25","6.40","0","3","6.36","18.08","6","-5.09","-23.89","NaN"
"VIV","VIVENDI SE","","France","Euronext","EUR","0.43","0.29","-1.05","-16.97","32.07","-0.62","0.37","0","1","0.77","32.29","6","6.51","-0.80","NaN"
"ALKAL","KALRAY S.A.","","France","Euronext","EUR","-14.19","0.08","-11.60","-29.25","20.37","-21.83","11.25","0","0","10.05","10.27","6","-33.23","-20.19","NaN"
"ALIBR","CALIBRE SA","","France","Euronext","EUR","-72.07","-4.90","-12.46","-152.20","155.96","-15.09","3.93","0","0","4.80","190.76","4","9.02","-31.29","NaN"
